"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L8312","CustomTypeParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/execution/injection/sample/CustomTypeParameterResolver.java","L8308","1","0","1","2","14","33"
"L8313","DoubleParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/execution/injection/sample/DoubleParameterResolver.java","L8308","1","0","1","2","14","36"
"L8314","LongParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/execution/injection/sample/LongParameterResolver.java","L8308","7","0","1","2","29","64"
"L8315","MapOfStringsParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/execution/injection/sample/MapOfStringsParameterResolver.java","L8308","4","0","1","2","28","50"
"L8316","NullIntegerParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/execution/injection/sample/NullIntegerParameterResolver.java","L8308","2","0","1","2","15","37"
"L8317","NumberParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/execution/injection/sample/NumberParameterResolver.java","L8308","1","0","1","2","14","50"
"L8318","PrimitiveArrayParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/execution/injection/sample/PrimitiveArrayParameterResolver.java","L8308","1","0","1","2","14","35"
"L8319","PrimitiveIntegerParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/execution/injection/sample/PrimitiveIntegerParameterResolver.java","L8308","1","0","1","2","14","35"
"L4852","Constants.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/Constants.java","L4851","1","0","1","0","12","93"
"L4853","DiscoveryFilterApplier.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/DiscoveryFilterApplier.java","L4851","5","0","0","0","59","100"
"L4854","JupiterTestEngine.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/JupiterTestEngine.java","L4851","1","0","3","2","49","84"
"L4855","package-info.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/package-info.java","L4851","1","0","0","0","1","6"
"L4891","AbstractExtensionContext.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/AbstractExtensionContext.java","L4890","3","0","0","0","69","99"
"L4892","ClassExtensionContext.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/ClassExtensionContext.java","L4890","1","0","1","6","42","70"
"L4893","ClassTestDescriptor.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/ClassTestDescriptor.java","L4890","8","0","3","6","205","295"
"L4894","DynamicContainerTestDescriptor.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/DynamicContainerTestDescriptor.java","L4890","1","0","0","0","42","70"
"L4895","DynamicTestTestDescriptor.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/DynamicTestTestDescriptor.java","L4890","1","0","0","0","27","50"
"L4896","JupiterEngineDescriptor.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/JupiterEngineDescriptor.java","L4890","1","0","1","2","27","50"
"L4897","JupiterEngineExtensionContext.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/JupiterEngineExtensionContext.java","L4890","1","0","1","6","34","59"
"L4898","JupiterTestDescriptor.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/JupiterTestDescriptor.java","L4890","5","0","2","0","99","153"
"L4899","LifecycleMethodUtils.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/LifecycleMethodUtils.java","L4890","5","0","0","0","68","103"
"L4900","MethodBasedTestDescriptor.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/MethodBasedTestDescriptor.java","L4890","1","0","0","0","42","69"
"L4901","MethodExtensionContext.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/MethodExtensionContext.java","L4890","1","0","1","6","40","69"
"L4902","NestedClassTestDescriptor.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/NestedClassTestDescriptor.java","L4890","1","0","2","1","36","72"
"L4903","package-info.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/package-info.java","L4890","1","0","0","0","1","6"
"L4904","TestFactoryTestDescriptor.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/TestFactoryTestDescriptor.java","L4890","3","0","2","2","88","124"
"L4905","TestInstanceLifecycleUtils.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/TestInstanceLifecycleUtils.java","L4890","3","0","0","0","46","83"
"L4906","TestMethodTestDescriptor.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/TestMethodTestDescriptor.java","L4890","8","0","2","3","159","231"
"L4907","TestTemplateExtensionContext.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/TestTemplateExtensionContext.java","L4890","1","0","0","0","34","60"
"L4908","TestTemplateInvocationTestDescriptor.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/TestTemplateInvocationTestDescriptor.java","L4890","1","0","1","1","30","57"
"L4909","TestTemplateTestDescriptor.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/TestTemplateTestDescriptor.java","L4890","1","0","2","4","77","123"
"L6302","AbstractMethodResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/AbstractMethodResolver.java","L6301","8","0","0","0","69","104"
"L6303","DiscoverySelectorResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/DiscoverySelectorResolver.java","L6301","1","0","1","1","55","85"
"L6304","ElementResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/ElementResolver.java","L6301","1","0","0","0","10","41"
"L6305","JavaElementsResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/JavaElementsResolver.java","L6301","10","0","0","0","173","233"
"L6306","MethodFinder.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/MethodFinder.java","L6301","1","0","0","0","18","41"
"L6307","NestedTestsResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/NestedTestsResolver.java","L6301","1","0","0","0","34","59"
"L6308","package-info.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/package-info.java","L6301","1","0","0","0","1","7"
"L6309","TestContainerResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/TestContainerResolver.java","L6301","7","0","0","0","67","104"
"L6310","TestFactoryMethodResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/TestFactoryMethodResolver.java","L6301","1","0","0","0","19","49"
"L6311","TestMethodResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/TestMethodResolver.java","L6301","1","0","0","0","18","48"
"L6312","TestTemplateMethodResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/TestTemplateMethodResolver.java","L6301","1","0","0","0","19","49"
